host_id,title,description,address,lat,lng,bathroom_count,bed_count,bedroom_count,header_count_capacity,cleaning_fee,daily_price,lodging_tax_ratio,sale_ratio,service_fee,rating_star_score,review_count
291,주식회사 이이엄 민박,Quas quaerat doloremque aspernatur. Perspiciatis earum minus qui cupiditate iusto ratione. Facilis facere inventore amet eius dolorem.,경기도 홍성군 서초중앙1길 (상훈이이동),36.82167,128.63083,2,1,3,2,5600,74288,10,6,3600,2.86,50
191,주식회사 김 한옥,Voluptates aliquam deserunt esse eius cumque nostrum. Voluptas exercitationem veritatis magni beatae corrupti praesentium.,충청북도 가평군 논현607길,37.1759,128.9889,3,3,1,10,2900,149018,10,1,2600,3.83,153
741,한이김 모텔,"Tempora dolorum asperiores impedit. Maxime adipisci tempore.
Ad atque ipsa esse. Nam sunt amet possimus quod ratione. Asperiores necessitatibus pariatur mollitia adipisci odit iure architecto.",충청남도 서산시 양재천가 (수민김면),36.6009,126.665,3,1,5,1,9800,199985,10,2,3000,1.32,235
1391,김김 민박,Consequatur officia in sit esse quia quos adipisci. Fugiat labore et. Ab voluptates quidem esse quo dolorem et.,충청북도 화천군 개포097길,37.65639,126.835,2,5,5,7,1500,324171,10,7,3700,2.94,483
1165,허우윤 모텔,"Alias consequuntur tempore commodi. Dignissimos dolorum numquam iusto. Sint reiciendis quo delectus voluptatibus.
Nostrum veritatis sunt. Eum at reiciendis voluptatum.",세종특별자치시 영등포구 도산대217가,34.8825,128.62667,2,2,5,7,2400,462654,10,8,1300,2.93,352
356,한안한 도미토리,Aperiam doloribus cupiditate repellat dolorum reprehenderit. Veniam et temporibus ex. Aperiam expedita doloremque odit.,광주광역시 북구 서초대로,36.82167,128.63083,1,3,5,6,2100,181334,10,4,4100,4.35,202
1613,김이김 아파트,Nemo rem molestias. Temporibus quisquam ducimus exercitationem excepturi eum pariatur. Expedita voluptatem eius ullam deleniti eveniet quia quibusdam. Praesentium iusto temporibus possimus fugiat.,전라북도 양양군 서초대거리 (서윤김동),36.20389,127.08472,2,2,4,4,8000,70163,10,4,4200,3.98,489
100,(주) 김 게스트하우스,"Qui doloremque quidem nihil exercitationem. Enim reprehenderit consequuntur itaque.
Cum voluptates corrupti maxime nam tempore. Optio tenetur eius.",강원도 부천시 잠실310길 (영길권김동),36.6009,126.665,3,1,3,6,6400,22863,10,9,3200,4.6,170
1173,주식회사 이엄이 게스트하우스,Soluta corrupti dolor unde unde quos. Deserunt molestias neque esse id quis. Molestiae excepturi atque distinctio laudantium.,충청남도 속초시 가락54거리 (영철유심마을),36.6009,126.665,1,2,3,4,3000,223641,10,6,600,2.78,355
1687,(유) 신 민박,Ratione numquam quos illum impedit voluptatem maxime. Ea natus exercitationem ex dignissimos porro possimus. Cumque nemo recusandae excepturi doloribus facere.,경상북도 화성시 테헤란로 (미정김읍),36.82167,128.63083,1,2,2,1,5100,348447,10,10,600,1.91,261
792,(유) 김 멘션,Adipisci ad recusandae distinctio at. Occaecati nostrum accusamus autem blanditiis et nam nostrum. Labore unde inventore maxime qui.,부산광역시 성북구 서초중앙로 (유진이동),37.1759,128.9889,3,4,3,5,3600,63765,10,8,4600,1.78,320
1500,(주) 김 모텔,"Error quod officia aliquid.
Praesentium a delectus deserunt reiciendis cupiditate cupiditate. Asperiores consequuntur deleniti provident possimus. Delectus eaque debitis architecto ab.",전라북도 청주시 상당구 가락69길,36.20389,127.08472,2,3,5,5,5000,209189,10,6,3900,4.67,347
1191,(주) 하 모텔,Cumque facere laborum ut numquam sunt nesciunt. Laudantium saepe iusto nemo recusandae suscipit in. Reprehenderit exercitationem laudantium odio illo.,강원도 괴산군 삼성16로,36.20389,127.08472,3,3,2,8,6900,169854,10,1,3200,1.94,69
395,이김 게스트하우스,"Magnam molestias laborum ut consequuntur. Laboriosam eveniet laudantium tempore neque.
Repudiandae harum sint ut minima. Nesciunt dicta nobis perspiciatis laborum.",광주광역시 서구 서초중앙556가 (지원문황읍),36.82167,128.63083,2,5,3,3,3300,283243,10,5,1600,3.78,202
1481,김이박 민박,Dolor quibusdam eos quis sunt error. In ipsam voluptates velit repellendus et iusto. Voluptatibus ipsum reiciendis doloribus commodi.,인천광역시 중랑구 테헤란116길,36.82167,128.63083,1,1,2,10,8000,116257,10,6,3700,3.02,492
194,유한회사 손구김 아파트,Eos tenetur inventore aliquid. Esse nesciunt minus fuga doloribus. Ab accusantium nam veniam expedita alias libero illo. Ad repellendus exercitationem amet accusamus quam velit amet.,부산광역시 동작구 개포3길,37.1759,128.9889,3,1,1,7,7000,102036,10,4,4700,3.23,226
1966,주식회사 노 한옥,"Quis vitae a culpa saepe quod. Aut corporis dolor adipisci.
Officiis inventore suscipit tempora a quia nostrum.",광주광역시 서대문구 잠실5로,34.8825,128.62667,2,2,5,8,5000,56116,10,7,4600,4.41,431
902,(주) 이김손 모텔,At consequatur culpa doloribus. Sint rem temporibus est praesentium voluptatem rerum ullam.,대구광역시 동작구 오금가 (민수최김리),37.1759,128.9889,2,1,5,3,3300,574901,10,2,5000,1.91,389
822,김최박 멘션,Minus asperiores adipisci ratione sunt impedit possimus. Assumenda assumenda optio ipsam molestias. Voluptate animi reprehenderit magni magni veritatis vero. Magni odio ipsum minima.,대구광역시 서구 선릉가 (승민김읍),37.1759,128.9889,3,1,5,3,9500,187343,10,2,1600,3.25,462
227,이오윤 모텔,Fuga laborum temporibus quos occaecati possimus corporis. Sint numquam facere. Quisquam voluptas occaecati similique possimus maxime vitae vitae.,인천광역시 서초구 잠실길,36.82167,128.63083,1,2,4,4,1700,153446,10,4,2500,1.13,126
838,(주) 이배고 호텔,Corporis officiis laborum architecto similique sint. Sint nobis eligendi doloremque dolore asperiores.,대전광역시 용산구 삼성1가,36.6009,126.665,1,1,4,5,9300,128973,10,2,2400,3.78,341
1700,윤문 민박,"Ad odit ab totam. Commodi quis ex reprehenderit beatae laboriosam.
Atque voluptatem ad aut. Est dolorum veniam sit id nam nulla. Minima iure laboriosam non debitis commodi perferendis.",부산광역시 마포구 압구정46거리 (예원최김읍),36.6009,126.665,3,3,5,5,9600,492616,10,5,3000,4.0,299
656,주식회사 성엄김 아파트,Nulla magni odio sunt pariatur nemo excepturi. Perspiciatis omnis aspernatur omnis. Labore itaque est quibusdam.,경상남도 부천시 오정구 양재천로 (예진김면),36.6009,126.665,3,3,3,6,10000,844413,10,5,4500,3.97,196
795,권김 아파트,Aliquam quo excepturi beatae aliquam molestias maiores. Eius cum sapiente placeat cum ut quos. Quae dicta at ducimus. Totam quis praesentium dolorem nam exercitationem ipsa.,전라남도 당진시 학동645거리 (현지김김읍),36.82167,128.63083,3,4,4,8,6600,322536,10,8,4200,2.4,487
869,최이김 아파트,Reprehenderit unde doloremque officiis ratione. Unde sint distinctio enim tenetur quibusdam a. Reiciendis aspernatur vero temporibus ipsa tempore eligendi tempore.,경상남도 홍성군 양재천로,37.65639,126.835,2,5,1,2,6500,441629,10,4,3700,3.64,111
811,권장 아파트,Delectus atque fuga earum dolores recusandae inventore. Ullam assumenda quia veniam iusto maiores est doloremque. Exercitationem adipisci nemo laborum aspernatur beatae fugiat.,전라북도 보은군 학동로 (현정이신면),36.6009,126.665,2,2,4,4,6700,385880,10,4,1900,1.31,90
501,(주) 이배김 한옥,"Fugiat cupiditate corporis nemo. Illo praesentium amet cupiditate reiciendis. Aut tempora hic laborum.
Illo totam laudantium animi quo eligendi. Assumenda voluptates provident eos.",부산광역시 강북구 봉은사5길,37.65639,126.835,2,4,3,7,1600,404966,10,1,2800,4.54,64
434,문박 게스트하우스,"Blanditiis pariatur ex provident.
Enim possimus repellat esse. Voluptates at minus ea voluptatibus. Eius modi dignissimos.",대전광역시 동작구 봉은사0가 (윤서홍마을),37.1759,128.9889,3,4,1,2,2500,5656,10,3,900,4.51,175
506,이류 호텔,Minima magni architecto beatae nulla facere voluptatibus. Rem laborum quae nostrum. Iure ducimus eveniet temporibus amet fuga error.,충청남도 의왕시 삼성길 (영철강면),36.20389,127.08472,1,4,5,1,1600,317295,10,6,2100,2.85,90
1825,(주) 서 민박,"Fuga quia nesciunt corporis debitis odit. In reiciendis vitae facere ex natus vel inventore.
Voluptate tempore sint amet quos magni. Eligendi sit reprehenderit non culpa pariatur vitae.",충청남도 홍성군 논현길 (은지나동),36.82167,128.63083,1,1,4,10,3700,418023,10,2,4300,4.81,266
1165,김남김 한옥,Voluptas tenetur ratione eligendi omnis harum. Officia ut atque tempora iusto dicta corporis. Quia est nemo quos non earum.,경상북도 제천시 잠실가,36.20389,127.08472,1,3,2,3,1800,154629,10,10,3000,1.31,225
962,박김박 멘션,"Sequi itaque eaque repellendus. A suscipit beatae quas.
Deleniti dolore commodi soluta ducimus tempora. Nesciunt sit dolorum laboriosam facere dignissimos quos.",경기도 가평군 강남대8가 (성현이이동),34.8825,128.62667,1,5,2,10,8600,75298,10,8,3400,3.42,294
1035,류최 아파트,"Quas similique quaerat provident eum doloribus. Perspiciatis perspiciatis magnam commodi reprehenderit eius.
Culpa repellendus cumque libero animi. Et cumque voluptatum et dicta veniam suscipit.",세종특별자치시 서구 영동대4길,36.82167,128.63083,3,2,5,8,1900,150416,10,3,700,2.17,476
1442,유한회사 이 아파트,"Velit dolorum esse quidem. Consectetur nihil dolore asperiores natus dolorem saepe.
Blanditiis mollitia deleniti incidunt quia. Labore dolor corporis hic totam placeat rem.",충청북도 속초시 언주가,37.1759,128.9889,1,5,1,7,8300,296957,10,9,3200,3.57,146
1094,이류김 모텔,"Explicabo dolorum eos animi doloribus sit.
Ipsa excepturi quod sint id vel. Esse voluptate delectus at cum nobis. Id culpa aspernatur necessitatibus laudantium tempora beatae veniam.",경기도 양구군 학동967로,37.1759,128.9889,2,3,1,1,6100,7658,10,1,3000,1.6,428
265,손김 멘션,Eius id beatae aliquid est. Ipsum explicabo et qui praesentium ea. Dolores explicabo perferendis ad suscipit tempora.,부산광역시 북구 반포대로 (영호문최리),36.82167,128.63083,1,3,5,7,10000,599961,10,1,4600,1.28,445
1325,주식회사 최 민박,Sit asperiores recusandae expedita consectetur nesciunt error. Animi recusandae earum consequatur sequi at. Recusandae ipsum tempora a beatae cumque.,울산광역시 북구 개포로 (경희최이면),36.6009,126.665,1,2,2,3,6300,66306,10,7,3900,3.82,256
374,(유) 최김오 도미토리,Reprehenderit molestiae necessitatibus doloremque cum itaque. Tempora maiores aperiam cum praesentium. Deleniti aspernatur asperiores numquam voluptates fugiat excepturi.,대구광역시 마포구 삼성거리,37.65639,126.835,2,2,1,6,5100,377494,10,6,3100,1.74,290
749,전강김 한옥,Maiores amet eligendi explicabo perspiciatis. Similique illo cum veritatis at totam. Itaque quibusdam sit aperiam quas.,경상북도 청주시 상당구 논현거리,36.82167,128.63083,3,1,2,1,5700,472059,10,10,1600,2.87,383
1021,문이 게스트하우스,Cumque quidem minima ratione inventore tempore eligendi. Vitae nam quos quae dolores. Deleniti modi dolore.,울산광역시 송파구 봉은사로 (순자나면),36.20389,127.08472,1,2,2,8,4100,718421,10,1,2100,2.26,119
591,엄이권 멘션,Maxime numquam accusamus quam pariatur minima. Adipisci qui dolorem quos harum numquam distinctio quasi. Dolorum eos possimus modi esse possimus fugit.,충청남도 춘천시 백제고분로 (상현장동),36.20389,127.08472,2,5,5,5,1500,319616,10,2,2500,2.41,457
1006,(유) 양 아파트,Eligendi dolores autem natus. Consectetur sapiente consectetur commodi odit reprehenderit. Nostrum doloremque similique.,제주특별자치도 예산군 테헤란가 (지후양동),36.6009,126.665,3,3,5,8,2900,227098,10,4,2700,2.92,27
1717,주식회사 장박이 한옥,Reprehenderit sequi pariatur incidunt. Nesciunt asperiores libero a consequuntur vero. Corrupti enim facere quas vero.,경상북도 홍천군 언주2로 (동현박이면),37.1759,128.9889,2,2,4,2,2100,149968,10,3,2200,2.08,443
1976,(유) 최 모텔,Et veritatis maiores. Eos reprehenderit dignissimos nam quidem pariatur sequi. Quae quasi facilis placeat labore.,충청북도 원주시 논현95로 (지영오윤면),36.82167,128.63083,3,2,5,2,2200,177664,10,5,1700,3.48,442
196,김김김 모텔,Libero explicabo asperiores voluptates vitae debitis. Quibusdam sunt nemo earum amet. Blanditiis vitae dicta recusandae suscipit.,광주광역시 강북구 강남대거리 (수민김박마을),37.65639,126.835,3,4,4,1,5200,337473,10,4,3700,4.29,130
211,오박 호텔,Error est sit veniam quisquam fugiat consequatur. Occaecati labore accusamus alias nobis animi nobis.,경상남도 가평군 언주065길,36.20389,127.08472,1,3,4,7,6800,149476,10,2,2900,3.53,224
101,주식회사 김 도미토리,"Odio vero illum amet nihil et occaecati. Libero deleniti saepe distinctio fugit repudiandae.
Illum esse temporibus aliquam perferendis.",인천광역시 구로구 오금거리,36.6009,126.665,2,5,5,5,7400,26581,10,6,1300,1.7,493
102,조백김 한옥,"Omnis et totam consequuntur.
Et quas omnis. Similique impedit occaecati cum autem.
Dolor ad id quam. Asperiores ipsum voluptates libero. Eligendi explicabo voluptates deleniti qui.",경상북도 남양주시 반포대길,36.20389,127.08472,2,4,5,9,5500,471085,10,9,1900,3.16,140
1379,(주) 김 모텔,"Cum quos voluptatibus deleniti vitae fuga neque. Animi dignissimos similique molestiae sed accusamus.
Odit saepe quam dolores exercitationem consequuntur. Ullam quidem at alias fugit culpa.",대전광역시 동대문구 선릉8로 (정자송마을),36.82167,128.63083,3,1,5,1,2700,17783,10,7,3000,2.5,42
89,(유) 한박송 아파트,Molestias cupiditate ducimus ipsa corrupti quibusdam velit aliquid. Alias dicta nobis cumque quas nostrum.,대구광역시 양천구 봉은사로,37.65639,126.835,2,4,5,8,7400,302113,10,8,3000,4.15,166
513,이박이 게스트하우스,Natus voluptas error voluptatem repudiandae. At voluptatibus enim molestias asperiores cumque.,전라북도 부천시 오정구 도산대5로,36.20389,127.08472,2,2,1,10,9900,601032,10,8,4800,4.53,290
1582,유한회사 조 모텔,Ipsam laboriosam perspiciatis incidunt commodi quaerat. Occaecati nulla laborum quibusdam doloribus necessitatibus facere. Facere omnis dignissimos optio dignissimos.,경상북도 보은군 오금거리,34.8825,128.62667,3,1,1,2,8400,197572,10,5,700,1.66,241
462,이홍문 도미토리,"Eos fugiat vel delectus vero. Sequi cupiditate cumque cumque saepe consequuntur. Repellat mollitia laborum.
Omnis velit soluta blanditiis sequi tenetur. Repellat quia commodi architecto.",충청남도 안산시 가락492로,37.1759,128.9889,3,5,2,7,1400,200306,10,3,4900,3.39,336
1665,김배 한옥,"Consequatur qui ex ducimus quia quod. Molestias voluptas et aspernatur iure.
Illum perferendis omnis alias ad nam. Possimus cum dolor repudiandae voluptatibus est.
Provident magnam velit nemo.",전라북도 금산군 서초중앙5거리,37.65639,126.835,2,5,3,1,5500,96545,10,4,4700,1.9,130
1950,(주) 이김김 도미토리,"Esse at libero veritatis doloribus hic. Neque fuga ullam doloribus eligendi.
Odio doloremque occaecati quo. Consequuntur ducimus dicta nostrum.",경상북도 하남시 봉은사가 (정호박한읍),36.6009,126.665,3,3,5,6,9400,78419,10,1,800,1.23,25
1108,유한회사 윤 아파트,"Amet corrupti quos harum vel mollitia. Doloribus ea totam sed numquam enim. Repellendus numquam iusto beatae quam odit sapiente error.
Suscipit quam officiis ipsum.",충청남도 정선군 테헤란로 (숙자류이동),36.6009,126.665,3,2,5,10,1200,207967,10,7,4600,1.05,111
1554,김한황 멘션,Vero rem reprehenderit assumenda sint magnam. Exercitationem pariatur sit sapiente dolor nobis rem.,경기도 하남시 석촌호수54길,36.6009,126.665,2,4,4,9,3500,718811,10,8,3600,3.38,58
1712,최이최 한옥,"Numquam commodi repudiandae sit saepe nemo. Alias earum omnis tempora quaerat atque magni.
Ab unde assumenda neque debitis cupiditate.",전라남도 평창군 테헤란4가 (준호곽박면),37.1759,128.9889,2,2,2,7,1100,339115,10,1,900,3.51,335
753,류문 호텔,Illo iusto expedita cumque quaerat odio eum. Architecto rem odit nihil harum nemo. Nostrum voluptas amet autem.,제주특별자치도 아산시 백제고분063거리 (정식김마을),37.1759,128.9889,2,4,5,9,8400,111919,10,5,2200,3.22,360
1445,(주) 이이박 호텔,Facilis ducimus eum temporibus provident deleniti placeat. Quia hic eaque maiores.,울산광역시 동대문구 개포가,37.65639,126.835,3,3,2,6,9500,64445,10,8,1800,1.71,318
895,김박 게스트하우스,Reiciendis ratione tempore nesciunt provident ea. Adipisci possimus dignissimos rem fugiat.,충청북도 예산군 압구정거리 (명자김김면),36.82167,128.63083,1,3,4,6,7700,209138,10,2,3700,4.43,202
358,(주) 이김김 민박,"Aliquid tempore tempora repellendus. Rem possimus eveniet distinctio accusamus. Beatae aperiam quam officia doloribus aliquam.
Odio facilis nostrum optio. Quasi blanditiis iure voluptatum.",세종특별자치시 송파구 오금거리,37.1759,128.9889,3,5,3,5,6500,250342,10,2,2700,2.35,283
1473,최김안 도미토리,Necessitatibus sed cumque explicabo. Id doloribus nulla vitae neque. Architecto tempore numquam aliquam iusto modi libero.,전라북도 용인시 영동대거리 (승민이동),37.65639,126.835,2,5,1,4,5700,720812,10,6,2300,1.18,97
165,(유) 이전최 모텔,Saepe nobis ab repellendus libero dolore. Ratione omnis voluptas saepe tempore magni. Sint culpa exercitationem praesentium iusto quod pariatur ea.,인천광역시 마포구 잠실가,36.82167,128.63083,1,4,2,7,1100,500981,10,10,3900,1.77,437
276,(주) 김 한옥,"Iure dolore laboriosam commodi assumenda laudantium corporis. Numquam soluta unde quisquam cupiditate. Repellat nihil enim nam.
Eveniet impedit molestiae natus. Provident unde ipsa eos rem.",전라북도 부여군 학동로,37.1759,128.9889,3,1,1,5,5500,49720,10,6,2600,2.79,489
1912,유한회사 김김권 멘션,Ducimus odit perferendis beatae nobis. Eum eos eaque praesentium occaecati enim ipsa excepturi. Cum inventore soluta tenetur vel ipsum itaque.,충청남도 옥천군 압구정7길,37.65639,126.835,3,1,4,8,2600,309145,10,10,2500,1.93,421
1236,김김서 호텔,Recusandae perspiciatis maxime autem odio provident in. Molestiae nisi quos fuga esse similique dicta eos. Ullam nisi veniam libero dolores.,충청북도 홍천군 개포66길 (정훈최면),36.6009,126.665,1,2,5,7,6900,526190,10,5,3500,1.49,287
1762,최문 호텔,"Labore quos expedita quidem iure voluptas.
Cum quaerat velit maxime. Ea quis nesciunt alias reiciendis animi sit.",충청북도 성남시 중원구 삼성로,36.20389,127.08472,1,4,2,2,4300,210303,10,10,2400,4.0,207
1096,이박윤 민박,Repellat ea eaque voluptates modi ratione. Aliquid in sunt reprehenderit.,대구광역시 용산구 언주3로,34.8825,128.62667,3,1,4,4,5100,188001,10,6,4500,1.56,273
1446,(유) 김이김 민박,Neque explicabo quo at tempora. Nisi atque culpa consectetur quasi. Provident quam aut occaecati odio nulla porro.,제주특별자치도 안산시 단원구 학동길 (수민김오리),37.65639,126.835,3,1,2,7,7700,453045,10,7,4600,2.82,247
1748,김박 아파트,Quod illum voluptatibus quas est dolorem soluta laudantium. Et consectetur culpa porro quis fugiat magnam. Dolor placeat deserunt dolor voluptas excepturi eaque.,인천광역시 강동구 봉은사길 (선영박동),34.8825,128.62667,3,1,1,2,1600,36823,10,9,3400,4.75,401
1891,이윤 게스트하우스,Maiores rerum porro amet nobis perspiciatis debitis explicabo. Ut id aperiam doloribus dolore. Eveniet nihil aliquid explicabo quis officia tempora.,인천광역시 구로구 양재천304거리,36.6009,126.665,2,1,1,2,8100,223755,10,7,4400,4.61,497
1225,임류박 도미토리,"Ipsa iusto iusto at tempore deserunt. Eos nobis sunt nostrum.
Beatae magnam dolore provident. Quibusdam aspernatur officia dolorem. Vero vel repellat.",경상북도 청주시 흥덕구 논현가,34.8825,128.62667,2,4,1,10,9000,50559,10,9,4900,3.71,30
758,(주) 김이최 민박,"Quas minus voluptatibus quam maiores labore. Accusantium voluptatem aliquam saepe.
Quos nobis facere nam. Laboriosam blanditiis animi sint accusamus. Voluptatibus illo consequuntur placeat.",전라북도 의정부시 선릉74길,36.6009,126.665,2,2,1,9,8700,357554,10,10,2000,1.99,419
1854,(유) 권이김 아파트,Consequuntur officiis voluptas dolore facilis dicta. Laboriosam accusantium cupiditate numquam culpa. Laboriosam ad numquam culpa est tenetur.,전라북도 광명시 압구정가 (영식안권마을),37.65639,126.835,3,2,5,9,4500,191240,10,2,2600,2.85,340
896,(주) 김류고 도미토리,"Quis dolores voluptatem sapiente doloribus laboriosam laborum blanditiis. Consectetur placeat doloremque deserunt. Voluptatibus saepe blanditiis.
Architecto sed reprehenderit corrupti odio ad.",경기도 인제군 학동16로 (미영김면),36.82167,128.63083,1,2,5,2,2500,129008,10,8,3600,4.22,154
903,주식회사 김고윤 도미토리,Autem sequi quod mollitia. Ipsa impedit officiis laboriosam error. Accusamus voluptate vitae voluptates aliquam.,부산광역시 서대문구 반포대가,36.82167,128.63083,3,1,1,3,1800,280680,10,6,600,2.62,82
1386,김김이 게스트하우스,"Ullam occaecati voluptates odit nemo. Odio consequuntur sed.
Eum asperiores ut magnam debitis ratione earum. Odit blanditiis doloribus sapiente voluptatibus ipsam iure.",대구광역시 구로구 석촌호수85길,36.20389,127.08472,2,5,5,10,4200,43810,10,8,600,3.33,99
1246,(주) 김 게스트하우스,Nobis quo porro quasi sint natus. Itaque nisi quas magnam totam nemo repudiandae.,울산광역시 용산구 언주길 (영미민마을),36.82167,128.63083,2,4,4,2,5600,162088,10,1,1100,4.63,464
844,유한회사 김 게스트하우스,"Corrupti sequi recusandae molestias accusamus est. Doloribus amet quidem enim quod sunt.
Amet veritatis mollitia repellat aperiam quibusdam.",충청남도 시흥시 서초중앙로 (영환이면),34.8825,128.62667,2,3,2,8,8600,246726,10,9,3000,4.91,57
170,이강이 아파트,Sapiente totam est error atque ipsum minima dolore. Id inventore quae autem suscipit non.,강원도 과천시 반포대440로,34.8825,128.62667,3,4,3,7,7700,206989,10,2,4900,2.04,169
26,김이 도미토리,"Fuga illo quae nulla tenetur.
Quae modi hic. Quo nobis quam nobis placeat suscipit unde quisquam. Consequatur laboriosam repellendus nulla.",경기도 부천시 원미구 영동대거리 (성현손읍),36.6009,126.665,2,1,4,2,2400,304401,10,7,4100,3.68,438
1841,이최이 한옥,"Quisquam sit voluptatem harum. Distinctio recusandae fugiat quisquam.
Voluptas voluptatem architecto architecto deleniti. Modi vero ad fuga sapiente dolore repudiandae. Iste numquam odit cumque eum.",경상북도 옥천군 압구정로,37.65639,126.835,1,5,2,7,5300,155069,10,4,5000,1.69,156
1169,홍홍김 민박,Eveniet ducimus deserunt dolores ab quisquam. Facere eum amet ullam. Quae omnis officia ab tempora harum cum.,광주광역시 노원구 백제고분길,36.6009,126.665,1,5,4,6,2700,67211,10,4,4300,2.85,253
804,김이장 한옥,Debitis aut odio laboriosam. Ex corporis consequuntur nulla. Sint aperiam quia doloribus nobis perferendis beatae.,인천광역시 노원구 백제고분로,37.1759,128.9889,3,4,4,6,2100,217365,10,1,3400,1.49,212
1964,(주) 최 게스트하우스,Deserunt facilis numquam assumenda. Nihil nisi fugiat sed quam laborum.,충청남도 수원시 팔달구 삼성가 (옥자배면),36.20389,127.08472,1,2,2,1,1600,273732,10,10,2600,3.25,311
1324,주식회사 성 민박,"Omnis id quidem alias. Incidunt iure eum modi quaerat numquam.
Minus dicta dolorem sequi. Officiis in impedit.",서울특별시 중랑구 봉은사거리,37.65639,126.835,3,4,4,8,1400,218230,10,5,4800,2.86,109
747,(주) 이이박 게스트하우스,Vero vitae minus itaque tempore. Quod dolor corporis commodi aliquid sed doloremque. Dolore quis voluptatum iure.,세종특별자치시 영등포구 선릉8가 (성민박윤동),37.65639,126.835,3,2,5,7,2500,298515,10,8,1100,2.34,392
1344,송최박 게스트하우스,Aspernatur provident iste facilis tempora laudantium eligendi. Ipsa illo nostrum dolore libero dolorum ducimus. Necessitatibus recusandae quidem vel tenetur.,세종특별자치시 강남구 선릉972로 (민지이동),37.65639,126.835,1,1,4,9,6000,427581,10,1,3800,2.1,304
1079,주식회사 고 게스트하우스,Ipsam praesentium esse et ducimus perspiciatis quae. Aliquid unde laudantium iste id.,전라북도 부여군 학동길,36.20389,127.08472,3,3,4,8,2400,85668,10,2,1700,1.09,338
1364,유한회사 우 게스트하우스,"Rerum mollitia eius. Corrupti modi error eaque.
Voluptatibus nisi tempora doloribus rem placeat veritatis. Vel eveniet non porro.",전라남도 안산시 단원구 양재천거리,37.1759,128.9889,3,1,5,10,3100,387864,10,5,2200,3.57,110
1615,류박 아파트,Temporibus nostrum labore beatae perferendis rerum. Fugiat sed neque sit tenetur laudantium qui.,인천광역시 강서구 압구정가 (영미황김읍),36.82167,128.63083,1,3,4,10,6900,168124,10,1,1900,3.56,80
90,서류심 멘션,Ut natus pariatur enim hic. In nobis molestiae explicabo tempora. Fugiat hic laborum nisi enim sint dolorum. Aperiam sed autem omnis.,전라북도 수원시 장안구 강남대거리,34.8825,128.62667,3,4,1,1,9900,201016,10,9,2800,4.04,405
